Date;Close
04/6/2026;104621.89
03/6/2026;105239.49
02/6/2026;106257.27
01/6/2026;104171.82
29/5/2026;106822.79
28/5/2026;107235.45
27/5/2026;107510.04
26/5/2026;107962.01
25/5/2026;108174.91
22/5/2026;105378.37
21/5/2026;106285.37
20/5/2026;106948.72
19/5/2026;105895.23
18/5/2026;107145.35
15/5/2026;106842.12
14/5/2026;109680.89
13/5/2026;109781.51
12/5/2026;109063.5
11/5/2026;110744.08
08/5/2026;110096.09
07/5/2026;111324.32
06/5/2026;111221.78
05/5/2026;107026.82
04/5/2026;106695.39
30/4/2026;107229.42
29/4/2026;105999.5
28/4/2026;106581.68
24/4/2026;108814.75
23/4/2026;108579.26
22/4/2026;110203.2
21/4/2026;110590.66
20/4/2026;112243.3
17/4/2026;113485.58
16/4/2026;110842.73
15/4/2026;111527.1
14/4/2026;111944.58
13/4/2026;110689.67
10/4/2026;111211.42
09/4/2026;110452.96
08/4/2026;111664.95
07/4/2026;107203.32
02/4/2026;108331.47
01/4/2026;108807.36
31/3/2026;106291.91
30/3/2026;104653.03
27/3/2026;103938.53
26/3/2026;104957.03
25/3/2026;106441.78
24/3/2026;102883.05
23/3/2026;102615.56
20/3/2026;102115.92
19/3/2026;102746.15
18/3/2026;105887.18
17/3/2026;109579.44
16/3/2026;108891.15
13/3/2026;107285.27
12/3/2026;109287.25
11/3/2026;109599.71
10/3/2026;111829.61
09/3/2026;108993.29
06/3/2026;108597.24
05/3/2026;111980.12
04/3/2026;113029.68
03/3/2026;111842.41
02/3/2026;118789.66
27/2/2026;120296.28
26/2/2026;118446.33
25/2/2026;118702.69
24/2/2026;116987
23/2/2026;116833.44
20/2/2026;114829.51
19/2/2026;113645.42
18/2/2026;114336.87
17/2/2026;111292.81
16/2/2026;112878.21
13/2/2026;112558.1
12/2/2026;114217.4
11/2/2026;113817.66
10/2/2026;112968.75
09/2/2026;112301.48
06/2/2026;112034.29
05/2/2026;110515.9
04/2/2026;112787.34
03/2/2026;112442.17
02/2/2026;110928.39
30/1/2026;112228.99
